reservoir_name,basin,subbasin,agency_name,lat,long,date,year,month,full_reservoir_level,live_capacity_frl,storage,level,day,weekday
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-01,2024,3,320.04,0.095,0.0081,303.505,1,4
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-02,2024,3,320.04,0.095,0.00755,303.352,2,5
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-03,2024,3,320.04,0.095,0.00755,303.352,3,6
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-04,2024,3,320.04,0.095,0.00669,303.093,4,0
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-05,2024,3,320.04,0.095,0.00621,302.941,5,1
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-06,2024,3,320.04,0.095,0.00601,302.88,6,2
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-07,2024,3,320.04,0.095,0.00582,302.819,7,3
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-08,2024,3,320.04,0.095,0.00563,302.758,8,4
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-09,2024,3,320.04,0.095,0.00539,302.682,9,5
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-10,2024,3,320.04,0.095,0.0063,302.971,10,6
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-11,2024,3,320.04,0.095,0.00766,303.383,11,0
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-12,2024,3,320.04,0.095,0.00766,303.383,12,1
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-13,2024,3,320.04,0.095,0.00926,303.825,13,2
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-14,2024,3,320.04,0.095,0.00821,303.535,14,3
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-15,2024,3,320.04,0.095,0.00712,303.23,15,4
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-16,2024,3,320.04,0.095,0.00611,302.91,16,5
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-17,2024,3,320.04,0.095,0.00505,302.575,17,6
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-18,2024,3,320.04,0.095,0.00413,302.285,18,0
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-19,2024,3,320.04,0.095,0.00331,302.026,19,1
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-20,2024,3,320.04,0.095,0.00254,301.782,20,2
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-21,2024,3,320.04,0.095,0.00169,301.478,21,3
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-22,2024,3,320.04,0.095,0.00085,301.173,22,4
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-23,2024,3,320.04,0.095,0.00023,300.944,23,5
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-24,2024,3,320.04,0.095,0.00023,300.807,24,6
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-25,2024,3,320.04,0.095,0.00023,300.685,25,0
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-26,2024,3,320.04,0.095,0.00023,300.563,26,1
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-27,2024,3,320.04,0.095,0.00023,300.472,27,2
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-28,2024,3,320.04,0.095,0.00023,300.396,28,3
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-29,2024,3,320.04,0.095,0.00023,300.35,29,4
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-30,2024,3,320.04,0.095,0.00023,300.335,30,5
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-31,2024,3,320.04,0.095,0.00023,300.319,31,6
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-01,2024,3,519.6,3.105,0.88,513.18,1,4
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-02,2024,3,519.6,3.105,0.876,513.16,2,5
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-03,2024,3,519.6,3.105,0.872,513.14,3,6
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-04,2024,3,519.6,3.105,0.868,513.12,4,0
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-05,2024,3,519.6,3.105,0.864,513.1,5,1
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-06,2024,3,519.6,3.105,0.859,513.07,6,2
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-07,2024,3,519.6,3.105,0.841,512.98,7,3
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-08,2024,3,519.6,3.105,0.818,512.86,8,4
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-09,2024,3,519.6,3.105,0.793,512.73,9,5
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-10,2024,3,519.6,3.105,0.767,512.59,10,6
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-11,2024,3,519.6,3.105,0.737,512.43,11,0
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-12,2024,3,519.6,3.105,0.719,512.33,12,1
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-13,2024,3,519.6,3.105,0.715,512.31,13,2
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-14,2024,3,519.6,3.105,0.711,512.29,14,3
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-15,2024,3,519.6,3.105,0.708,512.27,15,4
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-16,2024,3,519.6,3.105,0.704,512.25,16,5
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-17,2024,3,519.6,3.105,0.699,512.22,17,6
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-18,2024,3,519.6,3.105,0.695,512.2,18,0
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-19,2024,3,519.6,3.105,0.695,512.2,19,1
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-20,2024,3,519.6,3.105,0.695,512.2,20,2
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-21,2024,3,519.6,3.105,0.695,512.2,21,3
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-22,2024,3,519.6,3.105,0.676,512.09,22,4
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-23,2024,3,519.6,3.105,0.672,512.07,23,5
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-24,2024,3,519.6,3.105,0.668,512.05,24,6
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-25,2024,3,519.6,3.105,0.665,512.03,25,0
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-26,2024,3,519.6,3.105,0.656,511.98,26,1
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-27,2024,3,519.6,3.105,0.647,511.93,27,2
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-28,2024,3,519.6,3.105,0.638,511.88,28,3
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-29,2024,3,519.6,3.105,0.63,511.83,29,4
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-30,2024,3,519.6,3.105,0.621,511.78,30,5
Almatti Reservoir,Krishna Basin,0.0,0.0,16.34679294,75.73004306,2024-03-31,2024,3,519.6,3.105,0.613,511.73,31,6
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-01,2024,3,462.08,2.676,0.613,511.73,1,4
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-02,2024,3,462.08,2.676,0.613,511.73,2,5
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-03,2024,3,462.08,2.676,0.613,511.73,3,6
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-04,2024,3,462.08,2.676,0.613,511.73,4,0
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-05,2024,3,462.08,2.676,0.613,511.73,5,1
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-06,2024,3,462.08,2.676,1.099,451.348,6,2
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-07,2024,3,462.08,2.676,1.099,451.348,7,3
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-08,2024,3,462.08,2.676,1.099,451.348,8,4
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-09,2024,3,462.08,2.676,1.099,451.348,9,5
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-10,2024,3,462.08,2.676,1.099,451.348,10,6
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-11,2024,3,462.08,2.676,1.099,451.348,11,0
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-12,2024,3,462.08,2.676,1.099,451.348,12,1
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-13,2024,3,462.08,2.676,1.099,451.348,13,2
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-14,2024,3,462.08,2.676,1.092,451.287,14,3
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-15,2024,3,462.08,2.676,1.092,451.287,15,4
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-16,2024,3,462.08,2.676,1.092,451.287,16,5
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-17,2024,3,462.08,2.676,1.092,451.287,17,6
Balimela Reservoir,Godavari Basin,0.0,0.0,18.22494359,82.20423569,2024-03-18,2024,3,462.08,2.676,1.092,451.287,18,0
